file_type	mainfile_section	bare_component	sub_component	implicit_component	df_component
main		NA			FALSE		""		""			""
time		timefile		FALSE		""		""			""
area		areafile		TRUE		""		""			""
stock		stockfiles		TRUE		""		"^(growthandeatlengths|doesgrow|naturalmortality|iseaten|doeseat|doesmigrate|doesmature|doesmove|doesrenew|doesspawn|doesstray)$"	""
tag		tagfiles		FALSE		""		""			""
otherfood	otherfoodfiles		FALSE		""		""			""
fleet		fleetfiles		FALSE		"^(suitability|amount)$"	""	""
likelihood	likelihoodfiles		FALSE		""		""			""
timevariable	NA			FALSE		"^(data)$"	""			"^(data)$"
stockvariable	NA			FALSE		""		""			""
generic		NA			FALSE		""		""			""
data		NA			FALSE		""		""			""
